Model,Query_ID,Language,Semantic_Type,MRR,P@5,P@10,Recall@10,Retrieved_Ids,Ground_Truth_Ids
MSBERT,Q_103,English,Definitional,1.0,0.4,0.2,0.3333333333333333,"[""PASSAGE_23306"", ""PASSAGE_23256"", ""PASSAGE_23290"", ""PASSAGE_12781"", ""PASSAGE_23128"", ""PASSAGE_23280"", ""PASSAGE_23291"", ""PASSAGE_07743"", ""PASSAGE_10057"", ""PASSAGE_23246""]","[""PASSAGE_23306"", ""PASSAGE_23171"", ""PASSAGE_23290"", ""PASSAGE_09913"", ""PASSAGE_23142"", ""PASSAGE_09224""]"
MSBERT,Q_108,English,Definitional,0.5,0.2,0.1,0.25,"[""PASSAGE_24880"", ""PASSAGE_12508"", ""PASSAGE_16728"", ""PASSAGE_00516"", ""PASSAGE_18959"", ""PASSAGE_18961"", ""PASSAGE_18681"", ""PASSAGE_05751"", ""PASSAGE_19637"", ""PASSAGE_15448""]","[""PASSAGE_14312"", ""PASSAGE_12520"", ""PASSAGE_21622"", ""PASSAGE_12508""]"
MSBERT,Q_114,English,Procedural,0.5,0.2,0.2,0.2857142857142857,"[""PASSAGE_16816"", ""PASSAGE_09093"", ""PASSAGE_25026"", ""PASSAGE_07925"", ""PASSAGE_14585"", ""PASSAGE_21399"", ""PASSAGE_08989"", ""PASSAGE_07522"", ""PASSAGE_12635"", ""PASSAGE_23782""]","[""PASSAGE_16598"", ""PASSAGE_15433"", ""PASSAGE_23782"", ""PASSAGE_09419"", ""PASSAGE_16597"", ""PASSAGE_15435"", ""PASSAGE_09093""]"
MSBERT,Q_116,Tagalog,Case-Law,1.0,0.6,0.3,0.5,"[""PASSAGE_02241"", ""PASSAGE_26220"", ""PASSAGE_17646"", ""PASSAGE_08837"", ""PASSAGE_02239"", ""PASSAGE_17645"", ""PASSAGE_17635"", ""PASSAGE_08850"", ""PASSAGE_19482"", ""PASSAGE_26216""]","[""PASSAGE_02239"", ""PASSAGE_02240"", ""PASSAGE_02241"", ""PASSAGE_02243"", ""PASSAGE_08837"", ""PASSAGE_02242""]"
MSBERT,Q_138,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27670"", ""PASSAGE_26284"", ""PASSAGE_10150"", ""PASSAGE_23131"", ""PASSAGE_08661"", ""PASSAGE_16773"", ""PASSAGE_23115"", ""PASSAGE_08659"", ""PASSAGE_23010"", ""PASSAGE_17970""]","[""PASSAGE_04796""]"
MSBERT,Q_139,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_26284"", ""PASSAGE_27670"", ""PASSAGE_26272"", ""PASSAGE_20476"", ""PASSAGE_20488"", ""PASSAGE_27858"", ""PASSAGE_27971"", ""PASSAGE_23118"", ""PASSAGE_18479"", ""PASSAGE_20769""]","[""PASSAGE_12551""]"
MSBERT,Q_153,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27670"", ""PASSAGE_26284"", ""PASSAGE_10150"", ""PASSAGE_11148"", ""PASSAGE_11687"", ""PASSAGE_16774"", ""PASSAGE_06173"", ""PASSAGE_08661"", ""PASSAGE_10232"", ""PASSAGE_27657""]","[""PASSAGE_12636""]"
MSBERT,Q_158,English,Case-Law,0.2,0.2,0.1,0.3333333333333333,"[""PASSAGE_02244"", ""PASSAGE_18366"", ""PASSAGE_06863"", ""PASSAGE_12781"", ""PASSAGE_07100"", ""PASSAGE_05977"", ""PASSAGE_11167"", ""PASSAGE_18265"", ""PASSAGE_10059"", ""PASSAGE_19594""]","[""PASSAGE_09146"", ""PASSAGE_07100"", ""PASSAGE_09222""]"
MSBERT,Q_164,Tagalog,Procedural,0.0,0.0,0.0,0.0,"[""PASSAGE_19873"", ""PASSAGE_22181"", ""PASSAGE_07674"", ""PASSAGE_21159"", ""PASSAGE_23878"", ""PASSAGE_03992"", ""PASSAGE_14021"", ""PASSAGE_14022"", ""PASSAGE_04933"", ""PASSAGE_14251""]","[""PASSAGE_27670"", ""PASSAGE_16773"", ""PASSAGE_10232"", ""PASSAGE_27669""]"
MSBERT,Q_167,Tagalog,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_10150"", ""PASSAGE_27670"", ""PASSAGE_26284"", ""PASSAGE_27600"", ""PASSAGE_16773"", ""PASSAGE_10232"", ""PASSAGE_18522"", ""PASSAGE_08661"", ""PASSAGE_12661"", ""PASSAGE_27971""]","[""PASSAGE_04796"", ""PASSAGE_23861""]"
MSBERT,Q_173,Tagalog,Definitional,1.0,0.4,0.2,0.25,"[""PASSAGE_04600"", ""PASSAGE_25191"", ""PASSAGE_26457"", ""PASSAGE_08974"", ""PASSAGE_08979"", ""PASSAGE_19625"", ""PASSAGE_13599"", ""PASSAGE_05882"", ""PASSAGE_04426"", ""PASSAGE_11688""]","[""PASSAGE_04600"", ""PASSAGE_13382"", ""PASSAGE_20049"", ""PASSAGE_16656"", ""PASSAGE_12276"", ""PASSAGE_26776"", ""PASSAGE_08979"", ""PASSAGE_11055""]"
MSBERT,Q_178,Tagalog,Procedural,0.0,0.0,0.0,0.0,"[""PASSAGE_26284"", ""PASSAGE_19836"", ""PASSAGE_26026"", ""PASSAGE_13358"", ""PASSAGE_10150"", ""PASSAGE_14019"", ""PASSAGE_27670"", ""PASSAGE_27896"", ""PASSAGE_04298"", ""PASSAGE_27798""]","[""PASSAGE_22180"", ""PASSAGE_08660"", ""PASSAGE_11148"", ""PASSAGE_19609"", ""PASSAGE_08661""]"
LEGAL_BERT,Q_007,Tagalog,Procedural,0.0,0.0,0.0,0.0,"[""PASSAGE_04096"", ""PASSAGE_13076"", ""PASSAGE_27929"", ""PASSAGE_27971"", ""PASSAGE_27657"", ""PASSAGE_04097"", ""PASSAGE_11114"", ""PASSAGE_27926"", ""PASSAGE_06175"", ""PASSAGE_06178""]","[""PASSAGE_23364"", ""PASSAGE_23366"", ""PASSAGE_23362"", ""PASSAGE_17474"", ""PASSAGE_23363""]"
LEGAL_BERT,Q_013,Code-Switched,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_13076"", ""PASSAGE_27971"", ""PASSAGE_06175"", ""PASSAGE_06174"", ""PASSAGE_11114"", ""PASSAGE_06178"", ""PASSAGE_06172"", ""PASSAGE_06173"", ""PASSAGE_11148""]","[""PASSAGE_12551"", ""PASSAGE_03566""]"
LEGAL_BERT,Q_018,Tagalog,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_11114"", ""PASSAGE_27657"", ""PASSAGE_06173"", ""PASSAGE_27971"", ""PASSAGE_10231"", ""PASSAGE_06174"", ""PASSAGE_06178"", ""PASSAGE_11113"", ""PASSAGE_06175"", ""PASSAGE_11148""]","[""PASSAGE_14518"", ""PASSAGE_03576"", ""PASSAGE_03577"", ""PASSAGE_03574""]"
LEGAL_BERT,Q_020,English,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_26517"", ""PASSAGE_13024"", ""PASSAGE_06380"", ""PASSAGE_24915"", ""PASSAGE_18694"", ""PASSAGE_15413"", ""PASSAGE_05505"", ""PASSAGE_13281"", ""PASSAGE_24887"", ""PASSAGE_26081""]","[""PASSAGE_12460"", ""PASSAGE_16107"", ""PASSAGE_12459"", ""PASSAGE_05937"", ""PASSAGE_17818"", ""PASSAGE_14878"", ""PASSAGE_16106""]"
LEGAL_BERT,Q_028,English,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_06174"", ""PASSAGE_13076"", ""PASSAGE_06178"", ""PASSAGE_06173"", ""PASSAGE_27971"", ""PASSAGE_06175"", ""PASSAGE_06176"", ""PASSAGE_27657"", ""PASSAGE_10231"", ""PASSAGE_26284""]","[""PASSAGE_18171"", ""PASSAGE_18168"", ""PASSAGE_18160""]"
LEGAL_BERT,Q_033,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_13076"", ""PASSAGE_27657"", ""PASSAGE_06174"", ""PASSAGE_06175"", ""PASSAGE_27971"", ""PASSAGE_06172"", ""PASSAGE_08660"", ""PASSAGE_11114"", ""PASSAGE_06178"", ""PASSAGE_11148""]","[""PASSAGE_12307"", ""PASSAGE_12299"", ""PASSAGE_12298"", ""PASSAGE_22528""]"
LEGAL_BERT,Q_044,English,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_04540"", ""PASSAGE_04541"", ""PASSAGE_04537"", ""PASSAGE_04534"", ""PASSAGE_11494"", ""PASSAGE_11495"", ""PASSAGE_04539"", ""PASSAGE_12642"", ""PASSAGE_04538"", ""PASSAGE_04535""]","[""PASSAGE_04558"", ""PASSAGE_05544"", ""PASSAGE_26198"", ""PASSAGE_26203"", ""PASSAGE_05546"", ""PASSAGE_26205"", ""PASSAGE_08162"", ""PASSAGE_26225"", ""PASSAGE_26219"", ""PASSAGE_28860""]"
LEGAL_BERT,Q_045,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_27971"", ""PASSAGE_11148"", ""PASSAGE_08659"", ""PASSAGE_11114"", ""PASSAGE_04096"", ""PASSAGE_06174"", ""PASSAGE_06178"", ""PASSAGE_06172"", ""PASSAGE_06173""]","[""PASSAGE_27670"", ""PASSAGE_03566""]"
LEGAL_BERT,Q_051,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_13076"", ""PASSAGE_06174"", ""PASSAGE_06172"", ""PASSAGE_08660"", ""PASSAGE_06175"", ""PASSAGE_06178"", ""PASSAGE_27971"", ""PASSAGE_08659"", ""PASSAGE_27929""]","[""PASSAGE_27363"", ""PASSAGE_27361"", ""PASSAGE_27365""]"
LEGAL_BERT,Q_064,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_28766"", ""PASSAGE_28765"", ""PASSAGE_27929"", ""PASSAGE_28763"", ""PASSAGE_13076"", ""PASSAGE_06198"", ""PASSAGE_06178"", ""PASSAGE_06180"", ""PASSAGE_06172"", ""PASSAGE_12539""]","[""PASSAGE_25118"", ""PASSAGE_25151"", ""PASSAGE_25196""]"
LEGAL_BERT,Q_068,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_04098"", ""PASSAGE_19181"", ""PASSAGE_23679"", ""PASSAGE_04096"", ""PASSAGE_19180"", ""PASSAGE_19182"", ""PASSAGE_04097"", ""PASSAGE_07824"", ""PASSAGE_11114"", ""PASSAGE_06175""]","[""PASSAGE_10510"", ""PASSAGE_09970"", ""PASSAGE_24229"", ""PASSAGE_14691"", ""PASSAGE_13795"", ""PASSAGE_09976""]"
LEGAL_BERT,Q_069,Tagalog,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_23679"", ""PASSAGE_26284"", ""PASSAGE_27657"", ""PASSAGE_27971"", ""PASSAGE_06174"", ""PASSAGE_10231"", ""PASSAGE_10232"", ""PASSAGE_16773"", ""PASSAGE_17185"", ""PASSAGE_27656""]","[""PASSAGE_15431"", ""PASSAGE_06431"", ""PASSAGE_07923"", ""PASSAGE_11687"", ""PASSAGE_17490"", ""PASSAGE_27669""]"
LEGAL_BERT,Q_071,Tagalog,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_27971"", ""PASSAGE_27657"", ""PASSAGE_06174"", ""PASSAGE_06172"", ""PASSAGE_06173"", ""PASSAGE_13276"", ""PASSAGE_16773"", ""PASSAGE_11114"", ""PASSAGE_06171"", ""PASSAGE_11148""]","[""PASSAGE_27670"", ""PASSAGE_05509""]"
LEGAL_BERT,Q_079,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27971"", ""PASSAGE_27657"", ""PASSAGE_06174"", ""PASSAGE_19181"", ""PASSAGE_03766"", ""PASSAGE_11114"", ""PASSAGE_19180"", ""PASSAGE_03764"", ""PASSAGE_14308"", ""PASSAGE_23679""]","[""PASSAGE_13117"", ""PASSAGE_13091"", ""PASSAGE_13084""]"
LEGAL_BERT,Q_080,Tagalog,Procedural,0.0,0.0,0.0,0.0,"[""PASSAGE_03766"", ""PASSAGE_04098"", ""PASSAGE_03764"", ""PASSAGE_04097"", ""PASSAGE_27929"", ""PASSAGE_03768"", ""PASSAGE_04096"", ""PASSAGE_21212"", ""PASSAGE_28702"", ""PASSAGE_21211""]","[""PASSAGE_14870"", ""PASSAGE_16774"", ""PASSAGE_13738""]"
LEGAL_BERT,Q_088,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_28765"", ""PASSAGE_02845"", ""PASSAGE_28762"", ""PASSAGE_26284"", ""PASSAGE_02843"", ""PASSAGE_28763"", ""PASSAGE_27971"", ""PASSAGE_23679"", ""PASSAGE_28766"", ""PASSAGE_04098""]","[""PASSAGE_04252""]"
LEGAL_BERT,Q_092,English,Definitional,0.3333333333333333,0.2,0.1,0.16666666666666666,"[""PASSAGE_23679"", ""PASSAGE_22747"", ""PASSAGE_23193"", ""PASSAGE_23853"", ""PASSAGE_22777"", ""PASSAGE_11268"", ""PASSAGE_23072"", ""PASSAGE_09146"", ""PASSAGE_11943"", ""PASSAGE_13039""]","[""PASSAGE_23193"", ""PASSAGE_23100"", ""PASSAGE_22748"", ""PASSAGE_08944"", ""PASSAGE_09229"", ""PASSAGE_24928""]"
LEGAL_BERT,Q_103,English,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_23679"", ""PASSAGE_13076"", ""PASSAGE_06174"", ""PASSAGE_17619"", ""PASSAGE_27657"", ""PASSAGE_14919"", ""PASSAGE_11148"", ""PASSAGE_27971"", ""PASSAGE_11114"", ""PASSAGE_06175""]","[""PASSAGE_23306"", ""PASSAGE_23171"", ""PASSAGE_23290"", ""PASSAGE_09913"", ""PASSAGE_23142"", ""PASSAGE_09224""]"
LEGAL_BERT,Q_108,English,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_23679"", ""PASSAGE_26284"", ""PASSAGE_27657"", ""PASSAGE_19181"", ""PASSAGE_10231"", ""PASSAGE_19182"", ""PASSAGE_11148"", ""PASSAGE_10232"", ""PASSAGE_06174"", ""PASSAGE_19180""]","[""PASSAGE_14312"", ""PASSAGE_12520"", ""PASSAGE_21622"", ""PASSAGE_12508""]"
LEGAL_BERT,Q_114,English,Procedural,0.0,0.0,0.0,0.0,"[""PASSAGE_23679"", ""PASSAGE_21212"", ""PASSAGE_27185"", ""PASSAGE_21211"", ""PASSAGE_26283"", ""PASSAGE_27200"", ""PASSAGE_22563"", ""PASSAGE_26284"", ""PASSAGE_24945"", ""PASSAGE_05127""]","[""PASSAGE_16598"", ""PASSAGE_15433"", ""PASSAGE_23782"", ""PASSAGE_09419"", ""PASSAGE_16597"", ""PASSAGE_15435"", ""PASSAGE_09093""]"
LEGAL_BERT,Q_116,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_11114"", ""PASSAGE_06174"", ""PASSAGE_27971"", ""PASSAGE_06175"", ""PASSAGE_10231"", ""PASSAGE_16773"", ""PASSAGE_11148"", ""PASSAGE_08659"", ""PASSAGE_06172""]","[""PASSAGE_02239"", ""PASSAGE_02240"", ""PASSAGE_02241"", ""PASSAGE_02243"", ""PASSAGE_08837"", ""PASSAGE_02242""]"
LEGAL_BERT,Q_138,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_06178"", ""PASSAGE_27971"", ""PASSAGE_06175"", ""PASSAGE_06173"", ""PASSAGE_04096"", ""PASSAGE_11114"", ""PASSAGE_06174"", ""PASSAGE_27929"", ""PASSAGE_06172""]","[""PASSAGE_04796""]"
LEGAL_BERT,Q_139,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_13076"", ""PASSAGE_27971"", ""PASSAGE_06178"", ""PASSAGE_06174"", ""PASSAGE_11148"", ""PASSAGE_06175"", ""PASSAGE_11114"", ""PASSAGE_27929"", ""PASSAGE_04096""]","[""PASSAGE_12551""]"
LEGAL_BERT,Q_153,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_06173"", ""PASSAGE_11114"", ""PASSAGE_10231"", ""PASSAGE_06174"", ""PASSAGE_06172"", ""PASSAGE_27971"", ""PASSAGE_06178"", ""PASSAGE_06175"", ""PASSAGE_08659""]","[""PASSAGE_12636""]"
LEGAL_BERT,Q_158,English,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_23077"", ""PASSAGE_23076"", ""PASSAGE_23070"", ""PASSAGE_24924"", ""PASSAGE_23012"", ""PASSAGE_23011"", ""PASSAGE_07734"", ""PASSAGE_16443"", ""PASSAGE_23145"", ""PASSAGE_18324""]","[""PASSAGE_09146"", ""PASSAGE_07100"", ""PASSAGE_09222""]"
LEGAL_BERT,Q_164,Tagalog,Procedural,0.0,0.0,0.0,0.0,"[""PASSAGE_23679"", ""PASSAGE_04096"", ""PASSAGE_04097"", ""PASSAGE_19351"", ""PASSAGE_27657"", ""PASSAGE_19181"", ""PASSAGE_19182"", ""PASSAGE_06175"", ""PASSAGE_11148"", ""PASSAGE_19180""]","[""PASSAGE_27670"", ""PASSAGE_16773"", ""PASSAGE_10232"", ""PASSAGE_27669""]"
LEGAL_BERT,Q_167,Tagalog,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_27657"", ""PASSAGE_06174"", ""PASSAGE_06173"", ""PASSAGE_27971"", ""PASSAGE_06172"", ""PASSAGE_06175"", ""PASSAGE_11114"", ""PASSAGE_06178"", ""PASSAGE_10231"", ""PASSAGE_11148""]","[""PASSAGE_04796"", ""PASSAGE_23861""]"
LEGAL_BERT,Q_173,Tagalog,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_27929"", ""PASSAGE_27971"", ""PASSAGE_13076"", ""PASSAGE_04096"", ""PASSAGE_27926"", ""PASSAGE_27657"", ""PASSAGE_04097"", ""PASSAGE_06175"", ""PASSAGE_04098"", ""PASSAGE_11148""]","[""PASSAGE_04600"", ""PASSAGE_13382"", ""PASSAGE_20049"", ""PASSAGE_16656"", ""PASSAGE_12276"", ""PASSAGE_26776"", ""PASSAGE_08979"", ""PASSAGE_11055""]"
LEGAL_BERT,Q_178,Tagalog,Procedural,0.25,0.2,0.1,0.2,"[""PASSAGE_27657"", ""PASSAGE_27971"", ""PASSAGE_06173"", ""PASSAGE_11148"", ""PASSAGE_06178"", ""PASSAGE_11114"", ""PASSAGE_08659"", ""PASSAGE_06174"", ""PASSAGE_06175"", ""PASSAGE_04096""]","[""PASSAGE_22180"", ""PASSAGE_08660"", ""PASSAGE_11148"", ""PASSAGE_19609"", ""PASSAGE_08661""]"
BGE_M3,Q_007,Tagalog,Procedural,1.0,0.4,0.3,0.6,"[""PASSAGE_23366"", ""PASSAGE_23365"", ""PASSAGE_04296"", ""PASSAGE_19372"", ""PASSAGE_23362"", ""PASSAGE_23566"", ""PASSAGE_19197"", ""PASSAGE_23364"", ""PASSAGE_23367"", ""PASSAGE_23562""]","[""PASSAGE_23364"", ""PASSAGE_23366"", ""PASSAGE_23362"", ""PASSAGE_17474"", ""PASSAGE_23363""]"
BGE_M3,Q_013,Code-Switched,Case-Law,1.0,0.2,0.1,0.5,"[""PASSAGE_12551"", ""PASSAGE_06346"", ""PASSAGE_04753"", ""PASSAGE_07910"", ""PASSAGE_02063"", ""PASSAGE_14457"", ""PASSAGE_06658"", ""PASSAGE_12591"", ""PASSAGE_08981"", ""PASSAGE_07603""]","[""PASSAGE_12551"", ""PASSAGE_03566""]"
BGE_M3,Q_018,Tagalog,Definitional,1.0,0.6,0.3,0.75,"[""PASSAGE_03576"", ""PASSAGE_03575"", ""PASSAGE_03577"", ""PASSAGE_03574"", ""PASSAGE_03573"", ""PASSAGE_22225"", ""PASSAGE_20956"", ""PASSAGE_20963"", ""PASSAGE_06649"", ""PASSAGE_02764""]","[""PASSAGE_14518"", ""PASSAGE_03576"", ""PASSAGE_03577"", ""PASSAGE_03574""]"
