query_id,query_text,language_label,semantic_type,relevant_passage_ids,retrieval_sources,split
Q_020,What if I was terminated through Messenger without hearing?,English,Case-Law,"['PASSAGE_12460', 'PASSAGE_16107', 'PASSAGE_12459', 'PASSAGE_05937', 'PASSAGE_17818', 'PASSAGE_14878', 'PASSAGE_16106']","{'PASSAGE_12460': ['msbert'], 'PASSAGE_16107': ['bge_m3'], 'PASSAGE_12459': ['msbert'], 'PASSAGE_05937': ['bge_m3'], 'PASSAGE_17818': ['bge_m3'], 'PASSAGE_14878': ['msbert'], 'PASSAGE_16106': ['bge_m3']}",test
Q_021,Pwede bang gamitin ang screenshot ng Messenger convo as proof sa kaso?,Code-Switched,Case-Law,"['PASSAGE_12460', 'PASSAGE_17953', 'PASSAGE_12459']","{'PASSAGE_12460': ['msbert'], 'PASSAGE_17953': ['bge_m3'], 'PASSAGE_12459': ['msbert', 'bge_m3']}",train
Q_022,Ano ang legal effect ng edited screenshots sa legal complaint?,English,Definitional,[],{},train
Q_023,Pwede bang idemanda ang taong nag-hack ng Facebook ko at nag-message sa iba?,Tagalog,Case-Law,"['PASSAGE_02241', 'PASSAGE_13117', 'PASSAGE_13081']","{'PASSAGE_02241': ['bge_m3'], 'PASSAGE_13117': ['bge_m3'], 'PASSAGE_13081': ['bge_m3']}",train
Q_024,What if someone opened a loan under my name without permission?,English,Case-Law,"['PASSAGE_26517', 'PASSAGE_13341', 'PASSAGE_13024', 'PASSAGE_20845', 'PASSAGE_25981', 'PASSAGE_13030']","{'PASSAGE_26517': ['legal_bert'], 'PASSAGE_13341': ['msbert'], 'PASSAGE_13024': ['legal_bert'], 'PASSAGE_20845': ['msbert'], 'PASSAGE_25981': ['legal_bert'], 'PASSAGE_13030': ['legal_bert']}",train
Q_025,Pwede bang kasuhan ang taong nag-post ng fake obituary tungkol sa akin?,Tagalog,Case-Law,[],{},train
Q_026,Pwede bang i-dismiss ang case dahil edited ang evidence?,English,Case-Law,['PASSAGE_24268'],{'PASSAGE_24268': ['msbert']},train
Q_027,Pwede bang idemanda ang online seller na hindi nagpapadala ng item after payment?,Tagalog,Case-Law,"['PASSAGE_18715', 'PASSAGE_26284', 'PASSAGE_18744']","{'PASSAGE_18715': ['bge_m3'], 'PASSAGE_26284': ['msbert'], 'PASSAGE_18744': ['bge_m3']}",train
Q_028,What if courier marked item delivered pero wala akong nareceive?,English,Case-Law,"['PASSAGE_18171', 'PASSAGE_18168', 'PASSAGE_18160']","{'PASSAGE_18171': ['msbert', 'bge_m3'], 'PASSAGE_18168': ['bge_m3'], 'PASSAGE_18160': ['msbert']}",test
Q_029,Ano ang legal action sa AI-generated fake content using my face?,English,Definitional,"['PASSAGE_12551', 'PASSAGE_26524']","{'PASSAGE_12551': ['bge_m3'], 'PASSAGE_26524': ['bge_m3']}",train
Q_030,Ano ang gagawin kapag may kapitbahay na laging nag-iingay kahit paulit-ulit pinagsasabihan?,Tagalog,Definitional,[],{},train
Q_031,Pwede bang idemanda ang taong nag-spread ng fake rumor sa workplace chat?,Tagalog,Case-Law,"['PASSAGE_16953', 'PASSAGE_09243', 'PASSAGE_13076']","{'PASSAGE_16953': ['msbert'], 'PASSAGE_09243': ['msbert'], 'PASSAGE_13076': ['legal_bert']}",train
Q_032,What if coworker is sabotaging my job by spreading lies?,English,Case-Law,"['PASSAGE_14276', 'PASSAGE_24222', 'PASSAGE_00814', 'PASSAGE_05671', 'PASSAGE_16949', 'PASSAGE_17060', 'PASSAGE_26517', 'PASSAGE_23906']","{'PASSAGE_14276': ['msbert'], 'PASSAGE_24222': ['bge_m3'], 'PASSAGE_00814': ['msbert'], 'PASSAGE_05671': ['bge_m3'], 'PASSAGE_16949': ['msbert'], 'PASSAGE_17060': ['bge_m3'], 'PASSAGE_26517': ['legal_bert'], 'PASSAGE_23906': ['msbert']}",train
Q_033,Pwede bang kasuhan ang taong nag-fake account para mangutang sa pangalan ko?,Tagalog,Case-Law,"['PASSAGE_12307', 'PASSAGE_12299', 'PASSAGE_12298', 'PASSAGE_22528']","{'PASSAGE_12307': ['bge_m3'], 'PASSAGE_12299': ['bge_m3'], 'PASSAGE_12298': ['bge_m3'], 'PASSAGE_22528': ['bge_m3']}",test
Q_034,Ano ang legal process kapag na-hack ang Gmail account ko?,Tagalog,Definitional,['PASSAGE_02241'],"{'PASSAGE_02241': ['msbert', 'bge_m3']}",train
Q_035,Pwede bang idemanda ang taong nag-post ng defamatory TikTok video about me?,Tagalog,Case-Law,"['PASSAGE_13077', 'PASSAGE_13075', 'PASSAGE_13081']","{'PASSAGE_13077': ['bge_m3'], 'PASSAGE_13075': ['bge_m3'], 'PASSAGE_13081': ['bge_m3']}",train
Q_036,What if someone refuses to return rental deposit after I move out?,English,Case-Law,[],{},train
Q_037,Pwede bang kasuhan ang nagkakalat ng edited screenshots sa group chat?,Tagalog,Case-Law,"['PASSAGE_12551', 'PASSAGE_03566', 'PASSAGE_26518']","{'PASSAGE_12551': ['bge_m3'], 'PASSAGE_03566': ['bge_m3'], 'PASSAGE_26518': ['bge_m3']}",train
Q_038,Ano ang gagawin kapag may co-owner na nagbebenta ng shared property without consent?,Tagalog,Definitional,"['PASSAGE_13041', 'PASSAGE_13042', 'PASSAGE_24349', 'PASSAGE_24345', 'PASSAGE_06708']","{'PASSAGE_13041': ['msbert', 'bge_m3'], 'PASSAGE_13042': ['bge_m3'], 'PASSAGE_24349': ['msbert', 'bge_m3'], 'PASSAGE_24345': ['bge_m3'], 'PASSAGE_06708': ['msbert']}",train
Q_039,Pwede bang idemanda ang taong nanira ng motor ko dahil sa away?,Tagalog,Case-Law,"['PASSAGE_15467', 'PASSAGE_13355']","{'PASSAGE_15467': ['bge_m3'], 'PASSAGE_13355': ['bge_m3']}",train
Q_040,What if someone damaged my parked car intentionally?,English,Case-Law,"['PASSAGE_24886', 'PASSAGE_24889']","{'PASSAGE_24886': ['msbert'], 'PASSAGE_24889': ['bge_m3']}",train
Q_041,Pwede bang magreklamo kapag may unauthorized salary deduction?,Code-Switched,Procedural,"['PASSAGE_23562', 'PASSAGE_23566', 'PASSAGE_17813', 'PASSAGE_14419']","{'PASSAGE_23562': ['bge_m3'], 'PASSAGE_23566': ['bge_m3'], 'PASSAGE_17813': ['msbert'], 'PASSAGE_14419': ['msbert']}",train
Q_042,Ano ang rights ko kapag hindi binigay ang final pay after resignation?,Tagalog,Definitional,['PASSAGE_01879'],{'PASSAGE_01879': ['msbert']},train
Q_043,Pwede bang kasuhan ang recruiter na nang-scam sa job application fee?,Code-Switched,Case-Law,"['PASSAGE_08162', 'PASSAGE_05546', 'PASSAGE_08161', 'PASSAGE_14613', 'PASSAGE_04549', 'PASSAGE_26218']","{'PASSAGE_08162': ['bge_m3'], 'PASSAGE_05546': ['bge_m3'], 'PASSAGE_08161': ['bge_m3'], 'PASSAGE_14613': ['msbert'], 'PASSAGE_04549': ['msbert'], 'PASSAGE_26218': ['bge_m3']}",train
Q_044,What if OFW applicant was scammed by illegal recruiter?,English,Case-Law,"['PASSAGE_04558', 'PASSAGE_05544', 'PASSAGE_26198', 'PASSAGE_26203', 'PASSAGE_05546', 'PASSAGE_26205', 'PASSAGE_08162', 'PASSAGE_26225', 'PASSAGE_26219', 'PASSAGE_28860']","{'PASSAGE_04558': ['msbert', 'bge_m3'], 'PASSAGE_05544': ['bge_m3'], 'PASSAGE_26198': ['legal_bert'], 'PASSAGE_26203': ['legal_bert', 'msbert'], 'PASSAGE_05546': ['bge_m3'], 'PASSAGE_26205': ['msbert'], 'PASSAGE_08162': ['bge_m3'], 'PASSAGE_26225': ['msbert'], 'PASSAGE_26219': ['bge_m3'], 'PASSAGE_28860': ['msbert']}",test
Q_045,Pwede bang idemanda ang taong nagbanta sa chat na sasaktan ako?,Tagalog,Case-Law,"['PASSAGE_27670', 'PASSAGE_03566']","{'PASSAGE_27670': ['msbert'], 'PASSAGE_03566': ['bge_m3']}",test
Q_046,Ano ang gagawin kapag may stalking via Messenger or Instagram?,Tagalog,Definitional,"['PASSAGE_27580', 'PASSAGE_03553', 'PASSAGE_03564', 'PASSAGE_27579']","{'PASSAGE_27580': ['msbert'], 'PASSAGE_03553': ['bge_m3'], 'PASSAGE_03564': ['bge_m3'], 'PASSAGE_27579': ['bge_m3']}",train
Q_047,Pwede bang kasuhan ang ex na nag-leak ng private photos?,Tagalog,Case-Law,"['PASSAGE_27580', 'PASSAGE_12551', 'PASSAGE_21566', 'PASSAGE_27589', 'PASSAGE_24180']","{'PASSAGE_27580': ['msbert'], 'PASSAGE_12551': ['msbert', 'bge_m3'], 'PASSAGE_21566': ['bge_m3'], 'PASSAGE_27589': ['msbert'], 'PASSAGE_24180': ['bge_m3']}",train
Q_048,What if someone threatens to leak my personal videos online?,English,Case-Law,"['PASSAGE_12551', 'PASSAGE_27589', 'PASSAGE_12546', 'PASSAGE_03566', 'PASSAGE_27579', 'PASSAGE_12547']","{'PASSAGE_12551': ['msbert', 'bge_m3'], 'PASSAGE_27589': ['msbert'], 'PASSAGE_12546': ['msbert', 'bge_m3'], 'PASSAGE_03566': ['bge_m3'], 'PASSAGE_27579': ['msbert'], 'PASSAGE_12547': ['bge_m3']}",train
Q_049,Pwede bang idemanda ang taong nag-post ng fake ownership claim sa lupa?,Tagalog,Case-Law,"['PASSAGE_05203', 'PASSAGE_05185']","{'PASSAGE_05203': ['msbert'], 'PASSAGE_05185': ['bge_m3']}",train
Q_050,Ano ang legal remedy kapag may double sale ng property?,Tagalog,Definitional,"['PASSAGE_26943', 'PASSAGE_10245', 'PASSAGE_05203']","{'PASSAGE_26943': ['msbert'], 'PASSAGE_10245': ['bge_m3'], 'PASSAGE_05203': ['msbert']}",train
Q_051,Pwede bang kasuhan ang taong pumasok sa bahay namin nang walang permission?,Tagalog,Case-Law,"['PASSAGE_27363', 'PASSAGE_27361', 'PASSAGE_27365']","{'PASSAGE_27363': ['bge_m3'], 'PASSAGE_27361': ['bge_m3'], 'PASSAGE_27365': ['bge_m3']}",test
Q_052,What if someone trespasses inside a rented apartment unit?,English,Case-Law,"['PASSAGE_25951', 'PASSAGE_27420', 'PASSAGE_27421', 'PASSAGE_05616', 'PASSAGE_14292']","{'PASSAGE_25951': ['msbert', 'bge_m3'], 'PASSAGE_27420': ['bge_m3'], 'PASSAGE_27421': ['legal_bert'], 'PASSAGE_05616': ['bge_m3'], 'PASSAGE_14292': ['bge_m3']}",train
Q_053,Pwede bang idemanda ang taong hindi nagbalik ng hiniram na pera kahit may chat proof?,Tagalog,Case-Law,"['PASSAGE_22527', 'PASSAGE_10338', 'PASSAGE_27399', 'PASSAGE_10200']","{'PASSAGE_22527': ['bge_m3'], 'PASSAGE_10338': ['bge_m3'], 'PASSAGE_27399': ['bge_m3'], 'PASSAGE_10200': ['bge_m3']}",train
Q_054,Ano ang gagawin kapag may scam seller sa TikTok shop?,Tagalog,Definitional,['PASSAGE_03909'],{'PASSAGE_03909': ['bge_m3']},train
Q_055,Pwede bang magreklamo sa DTI kapag defective ang product at ayaw i-refund?,Tagalog,Procedural,"['PASSAGE_03909', 'PASSAGE_03910']","{'PASSAGE_03909': ['bge_m3'], 'PASSAGE_03910': ['bge_m3']}",train
Q_056,What if someone impersonates me in online transactions to scam others?,English,Case-Law,"['PASSAGE_17646', 'PASSAGE_26220', 'PASSAGE_02241', 'PASSAGE_11104', 'PASSAGE_12642', 'PASSAGE_04559', 'PASSAGE_08837', 'PASSAGE_08836', 'PASSAGE_17645']","{'PASSAGE_17646': ['msbert'], 'PASSAGE_26220': ['msbert', 'bge_m3'], 'PASSAGE_02241': ['msbert'], 'PASSAGE_11104': ['bge_m3'], 'PASSAGE_12642': ['legal_bert'], 'PASSAGE_04559': ['bge_m3'], 'PASSAGE_08837': ['msbert'], 'PASSAGE_08836': ['bge_m3'], 'PASSAGE_17645': ['msbert']}",train
Q_057,Pwede bang idemanda ang taong nag-post ng fake accusation sa school group chat?,Code-Switched,Case-Law,"['PASSAGE_13084', 'PASSAGE_13081', 'PASSAGE_13077']","{'PASSAGE_13084': ['bge_m3'], 'PASSAGE_13081': ['bge_m3'], 'PASSAGE_13077': ['bge_m3']}",train
Q_058,Ano ang legal action kapag may harassment sa workplace messenger?,Tagalog,Definitional,"['PASSAGE_03568', 'PASSAGE_03569']","{'PASSAGE_03568': ['msbert', 'bge_m3'], 'PASSAGE_03569': ['bge_m3']}",train
Q_059,Pwede bang kasuhan ang taong sinisira ang reputation ng small business online?,Tagalog,Case-Law,"['PASSAGE_13117', 'PASSAGE_13081', 'PASSAGE_13079', 'PASSAGE_13075']","{'PASSAGE_13117': ['bge_m3'], 'PASSAGE_13081': ['bge_m3'], 'PASSAGE_13079': ['bge_m3'], 'PASSAGE_13075': ['bge_m3']}",train
Q_060,What if someone keeps sending threatening messages despite blocking?,English,Case-Law,"['PASSAGE_07545', 'PASSAGE_12459', 'PASSAGE_06631', 'PASSAGE_12460']","{'PASSAGE_07545': ['msbert'], 'PASSAGE_12459': ['msbert'], 'PASSAGE_06631': ['msbert'], 'PASSAGE_12460': ['msbert']}",train
Q_061,Ano ang legal meaning ng “case dismissed”?,Tagalog,Definitional,"['PASSAGE_21759', 'PASSAGE_06749', 'PASSAGE_04407', 'PASSAGE_16341', 'PASSAGE_27024']","{'PASSAGE_21759': ['msbert'], 'PASSAGE_06749': ['bge_m3'], 'PASSAGE_04407': ['bge_m3'], 'PASSAGE_16341': ['msbert'], 'PASSAGE_27024': ['bge_m3']}",train
Q_062,Pwede ba ako magreklamo kapag nawala ang gamit ko sa school?,Tagalog,Procedural,"['PASSAGE_03574', 'PASSAGE_03573', 'PASSAGE_20963']","{'PASSAGE_03574': ['bge_m3'], 'PASSAGE_03573': ['bge_m3'], 'PASSAGE_20963': ['bge_m3']}",train
Q_063,Ano mangyayari kapag may umutang tapos di nagbayad?,Tagalog,Case-Law,"['PASSAGE_11167', 'PASSAGE_15542', 'PASSAGE_24429', 'PASSAGE_08932']","{'PASSAGE_11167': ['bge_m3'], 'PASSAGE_15542': ['bge_m3'], 'PASSAGE_24429': ['bge_m3'], 'PASSAGE_08932': ['bge_m3']}",train
Q_064,Legal ba mag-record ng usapan sa phone?,Tagalog,Case-Law,"['PASSAGE_25118', 'PASSAGE_25151', 'PASSAGE_25196']","{'PASSAGE_25118': ['bge_m3'], 'PASSAGE_25151': ['bge_m3'], 'PASSAGE_25196': ['bge_m3']}",test
Q_065,Ano ang gagawin kapag may nagnakaw ng cellphone ko?,Tagalog,Definitional,"['PASSAGE_16807', 'PASSAGE_11770']","{'PASSAGE_16807': ['bge_m3'], 'PASSAGE_11770': ['bge_m3']}",train
Q_066,Pwede ba kasuhan ang kapitbahay dahil sa sobrang ingay?,Tagalog,Case-Law,['PASSAGE_14852'],{'PASSAGE_14852': ['bge_m3']},train
Q_067,Ano ang rights ko kapag pinapagalitan ako ng boss ko?,Tagalog,Definitional,"['PASSAGE_24230', 'PASSAGE_08188', 'PASSAGE_15395']","{'PASSAGE_24230': ['bge_m3'], 'PASSAGE_08188': ['bge_m3'], 'PASSAGE_15395': ['bge_m3']}",train
Q_068,Pwede ba ako tanggalin sa trabaho bigla?,Tagalog,Case-Law,"['PASSAGE_10510', 'PASSAGE_09970', 'PASSAGE_24229', 'PASSAGE_14691', 'PASSAGE_13795', 'PASSAGE_09976']","{'PASSAGE_10510': ['bge_m3'], 'PASSAGE_09970': ['msbert'], 'PASSAGE_24229': ['bge_m3'], 'PASSAGE_14691': ['msbert'], 'PASSAGE_13795': ['bge_m3'], 'PASSAGE_09976': ['bge_m3']}",test
Q_069,Ano ang ibig sabihin ng affidavit?,Tagalog,Definitional,"['PASSAGE_15431', 'PASSAGE_06431', 'PASSAGE_07923', 'PASSAGE_11687', 'PASSAGE_17490', 'PASSAGE_27669']","{'PASSAGE_15431': ['msbert', 'bge_m3'], 'PASSAGE_06431': ['bge_m3'], 'PASSAGE_07923': ['bge_m3'], 'PASSAGE_11687': ['legal_bert'], 'PASSAGE_17490': ['bge_m3'], 'PASSAGE_27669': ['legal_bert']}",test
Q_070,Pwede ba mag-file ng kaso kahit walang abogado?,Tagalog,Procedural,"['PASSAGE_12226', 'PASSAGE_05566']","{'PASSAGE_12226': ['bge_m3'], 'PASSAGE_05566': ['bge_m3']}",train
Q_071,Ano ang dapat gawin kapag may nanakit sa akin?,Tagalog,Definitional,"['PASSAGE_27670', 'PASSAGE_05509']","{'PASSAGE_27670': ['msbert'], 'PASSAGE_05509': ['bge_m3']}",test
Q_072,Legal ba ang pananakot sa chat?,Tagalog,Case-Law,['PASSAGE_03565'],{'PASSAGE_03565': ['bge_m3']},train
Q_073,Pwede ba magpa-barangay muna bago magdemanda?,Tagalog,Case-Law,[],{},train
Q_074,Ano ang gagawin kapag ayaw ibalik ang hiniram kong gamit?,Tagalog,Definitional,[],{},train
Q_075,Pwede ba ako kasuhan kung nag-post ako ng maling info?,Tagalog,Case-Law,"['PASSAGE_09579', 'PASSAGE_09580', 'PASSAGE_12548', 'PASSAGE_00814']","{'PASSAGE_09579': ['bge_m3'], 'PASSAGE_09580': ['bge_m3'], 'PASSAGE_12548': ['bge_m3'], 'PASSAGE_00814': ['bge_m3']}",train
Q_076,Ano ang ibig sabihin ng “no contact order”?,Tagalog,Definitional,[],{},train
Q_077,Pwede ba ako habulin sa utang kahit verbal lang?,Tagalog,Case-Law,[],{},test
Q_078,Ano ang mangyayari kapag hindi ako sumipot sa hearing?,Tagalog,Definitional,"['PASSAGE_03982', 'PASSAGE_12044', 'PASSAGE_16621']","{'PASSAGE_03982': ['bge_m3'], 'PASSAGE_12044': ['bge_m3'], 'PASSAGE_16621': ['bge_m3']}",train
Q_079,Legal ba ang pambabatikos sa Facebook?,Tagalog,Case-Law,"['PASSAGE_13117', 'PASSAGE_13091', 'PASSAGE_13084']","{'PASSAGE_13117': ['bge_m3'], 'PASSAGE_13091': ['bge_m3'], 'PASSAGE_13084': ['bge_m3']}",test
Q_080,Pwede ba ako magreklamo kapag late palagi ang sahod?,Tagalog,Procedural,"['PASSAGE_14870', 'PASSAGE_16774', 'PASSAGE_13738']","{'PASSAGE_14870': ['bge_m3'], 'PASSAGE_16774': ['legal_bert', 'msbert'], 'PASSAGE_13738': ['bge_m3']}",test
Q_081,"Kapag hindi nagbayad ng utang ang friend ko, pwede ba akong mag-file ng kaso?",Tagalog,Procedural,"['PASSAGE_16825', 'PASSAGE_10102', 'PASSAGE_18265', 'PASSAGE_09146']","{'PASSAGE_16825': ['bge_m3'], 'PASSAGE_10102': ['bge_m3'], 'PASSAGE_18265': ['bge_m3'], 'PASSAGE_09146': ['bge_m3']}",train
Q_082,What happens if someone steals my bag in a jeepney?,English,Case-Law,"['PASSAGE_26026', 'PASSAGE_11770', 'PASSAGE_06365', 'PASSAGE_15710', 'PASSAGE_15712', 'PASSAGE_11773']","{'PASSAGE_26026': ['msbert'], 'PASSAGE_11770': ['bge_m3'], 'PASSAGE_06365': ['msbert'], 'PASSAGE_15710': ['bge_m3'], 'PASSAGE_15712': ['bge_m3'], 'PASSAGE_11773': ['bge_m3']}",train
Q_083,Pwede ba kasuhan ang kapitbahay ko dahil sa ingay gabi-gabi?,Tagalog,Case-Law,[],{},train
Q_084,Ano ang rights ko kapag tinanggal ako sa trabaho nang walang notice?,Tagalog,Definitional,"['PASSAGE_17818', 'PASSAGE_17479', 'PASSAGE_05937', 'PASSAGE_09979']","{'PASSAGE_17818': ['bge_m3'], 'PASSAGE_17479': ['bge_m3'], 'PASSAGE_05937': ['bge_m3'], 'PASSAGE_09979': ['bge_m3']}",train
Q_085,"Kapag hindi sinosoli ang down payment sa cancelled deal, ano ang legal remedy?",Code-Switched,Definitional,"['PASSAGE_17068', 'PASSAGE_11189', 'PASSAGE_11167', 'PASSAGE_11183']","{'PASSAGE_17068': ['msbert'], 'PASSAGE_11189': ['bge_m3'], 'PASSAGE_11167': ['bge_m3'], 'PASSAGE_11183': ['bge_m3']}",train
Q_086,Pwede ba akong kasuhan kung may nasabi akong insult online?,Tagalog,Case-Law,"['PASSAGE_13081', 'PASSAGE_13118', 'PASSAGE_13079', 'PASSAGE_13075']","{'PASSAGE_13081': ['bge_m3'], 'PASSAGE_13118': ['bge_m3'], 'PASSAGE_13079': ['bge_m3'], 'PASSAGE_13075': ['bge_m3']}",train
Q_087,Ano ang proseso kapag gusto kong ipa-barangay ang reklamo ko?,Tagalog,Definitional,[],{},train
Q_088,Legal ba ang subleasing ng apartment nang walang consent ng landlord?,Tagalog,Case-Law,['PASSAGE_04252'],{'PASSAGE_04252': ['bge_m3']},test
Q_089,"Kapag may minor na nagpakasal, valid ba yun?",Tagalog,Case-Law,"['PASSAGE_15677', 'PASSAGE_23094', 'PASSAGE_23074']","{'PASSAGE_15677': ['bge_m3'], 'PASSAGE_23094': ['bge_m3'], 'PASSAGE_23074': ['bge_m3']}",train
Q_090,Ano ang mangyayari kung may dalawang tao na nag-claim ng same property?,Tagalog,Definitional,"['PASSAGE_06328', 'PASSAGE_15297']","{'PASSAGE_06328': ['bge_m3'], 'PASSAGE_15297': ['bge_m3']}",train
Q_091,Pwede ba mag-file ng annulment kahit matagal nang hiwalay?,Tagalog,Procedural,['PASSAGE_23631'],{'PASSAGE_23631': ['bge_m3']},train
Q_092,Ano ang difference ng nullity of marriage at annulment?,English,Definitional,"['PASSAGE_23193', 'PASSAGE_23100', 'PASSAGE_22748', 'PASSAGE_08944', 'PASSAGE_09229', 'PASSAGE_24928']","{'PASSAGE_23193': ['legal_bert', 'bge_m3'], 'PASSAGE_23100': ['legal_bert'], 'PASSAGE_22748': ['msbert'], 'PASSAGE_08944': ['legal_bert'], 'PASSAGE_09229': ['bge_m3'], 'PASSAGE_24928': ['bge_m3']}",test
Q_093,"Kapag naputol ang internet service ko, pwede ba akong magreklamo sa provider?",Tagalog,Procedural,[],{},test
